Code_10,filed_by,Last_name,first_name,unique,Code
"cayetano, ","Cayetano, Alan Peter Companero S.",Cayetano,Alan,Cayetano_Alan,cayetano
"lim, alfre","Lim, Alfredo S.",Lim,Alfredo,Lim_Alfredo,lim
"trillanes,","Trillanes, Antonio ""Sonny"" F.",Trillanes,Antonio,Trillanes_Antonio,trillanes
"pimentel, ","Pimentel, Aquilino ""Koko"" III",Pimentel,Aquilino,Pimentel_Aquilino,pimentel
pimentel j,"Pimentel Jr., Aquilino Q.",Pimentel Jr.,Aquilino,Pimentel Jr._Aquilino,pimentel jr.
aquino iii,"Aquino III, Benigno S.",Aquino III,Benigno,Aquino III_Benigno,aquino iii
"go, christ","Go, Christopher Lawrence T.",Go,Christopher,Go_Christopher,go
"villar, cy","Villar, Cynthia A.",Villar,Cynthia,Villar_Cynthia,villar
"angara, ed","Angara, Edgardo J.",Angara,Edgardo,Angara_Edgardo,angara
"pacquiao, ","Pacquiao, Emmanuel ""Manny"" D.",Pacquiao,Emmanuel,Pacquiao_Emmanuel,pacquiao
"marcos, fe","Marcos, Ferdinand ""Bongbong"" R.",Marcos,Ferdinand,Marcos_Ferdinand,marcos
"escudero, ","Escudero, Francis ""Chiz"" G.",Escudero,Francis,Escudero_Francis,escudero
pangilinan,"Pangilinan, Francis N.",Pangilinan,Francis,Pangilinan_Francis,pangilinan
"tolentino,","Tolentino, Francis ""Tol"" N.",Tolentino,Francis,Tolentino_Francis,tolentino
"drilon, fr","Drilon, Franklin M.",Drilon,Franklin,Drilon_Franklin,drilon
"poe, grace","Poe, Grace",Poe,Grace,Poe_Grace,poe
honasan ii,"Honasan II, Gregorio B.",Honasan II,Gregorio,Honasan II_Gregorio,honasan ii
"marcos, im","Marcos, Imee R.",Marcos,Imee,Marcos_Imee,marcos
ejercito-e,"Ejercito-Estrada, Jinggoy P.",Ejercito-Estrada,Jinggoy,Ejercito-Estrada_Jinggoy,ejercito-estrada
villanueva,"Villanueva, Joel",Villanueva,Joel,Villanueva_Joel,villanueva
"arroyo, jo","Arroyo, Joker P.",Arroyo,Joker,Arroyo_Joker,arroyo
"ejercito, ","Ejercito, Joseph Victor G.",Ejercito,Joseph,Ejercito_Joseph,ejercito
"angara, ju","Angara, Juan Edgardo ""Sonny"" M.",Angara,Juan,Angara_Juan,angara
"enrile, ju","Enrile, Juan Ponce",Enrile,Juan,Enrile_Juan,enrile
"flavier, j","Flavier, Juan M.",Flavier,Juan,Flavier_Juan,flavier
"zubiri, ju","Zubiri, Juan Miguel F.",Zubiri,Juan,Zubiri_Juan,zubiri
"de lima, l","De Lima, Leila M.",De Lima,Leila,De Lima_Leila,de lima
"legarda, l","Legarda, Loren B.",Legarda,Loren,Legarda_Loren,legarda
ejercito e,"Ejercito Estrada, Luisa ""Loi"" P.",Ejercito Estrada,Luisa,Ejercito Estrada_Luisa,ejercito estrada
"madrigal, ","Madrigal, M. A.",Madrigal,M.,Madrigal_M.,madrigal
"villar, ma","Villar, Manny",Villar,Manny,Villar_Manny,villar
"lapid, man","Lapid, Manuel ""Lito"" M.",Lapid,Manuel,Lapid_Manuel,lapid
villar jr.,"Villar Jr., Manuel B.",Villar Jr.,Manuel,Villar Jr._Manuel,villar jr.
"roxas, mar","Roxas, Mar",Roxas,Mar,Roxas_Mar,roxas
"binay, mar","Binay, Maria Lourdes Nancy S.",Binay,Maria,Binay_Maria,binay
defensor s,"Defensor Santiago, Miriam",Defensor Santiago,Miriam,Defensor Santiago_Miriam,defensor santiago
"lacson, pa","Lacson, Panfilo M.",Lacson,Panfilo,Lacson_Panfilo,lacson
"aquino iv,","Aquino IV, Paolo Benigno ""Bam""",Aquino IV,Paolo,Aquino IV_Paolo,aquino iv
"cayetano, ","Cayetano, Pia S.",Cayetano,Pia,Cayetano_Pia,cayetano
"recto, ral","Recto, Ralph G.",Recto,Ralph,Recto_Ralph,recto
magsaysay ,"Magsaysay Jr., Ramon B.",Magsaysay Jr.,Ramon,Magsaysay Jr._Ramon,magsaysay jr.
revilla jr,"Revilla Jr., Ramon A.",Revilla Jr.,Ramon,Revilla Jr._Ramon,revilla jr.
"gordon, ri","Gordon, Richard J.",Gordon,Richard,Gordon_Richard,gordon
hontiveros,"Hontiveros, Risa",Hontiveros,Risa,Hontiveros_Risa,hontiveros
"biazon, ro","Biazon, Rodolfo G.",Biazon,Rodolfo,Biazon_Rodolfo,biazon
"dela rosa,","Dela Rosa, Ronald ""Bato""",Dela Rosa,Ronald,Dela Rosa_Ronald,dela rosa
osmena iii,"Osmena III, Sergio R.",Osmena III,Sergio,Osmena III_Sergio,osmena iii
gatchalian,"Gatchalian, Sherwin T.",Gatchalian,Sherwin,Gatchalian_Sherwin,gatchalian
"angara, so","Angara, Sonny",Angara,Sonny,Angara_Sonny,angara
guingona i,"Guingona III, Teofisto ""Tg""",Guingona III,Teofisto,Guingona III_Teofisto,guingona iii
"sotto iii,","Sotto III, Vicente C.",Sotto III,Vicente,Sotto III_Vicente,sotto iii
